@ATTRIBUTE label { deny,allow,no label }

@DATA

304, GET, 70, application, application/pkix-crl, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 336, microsoft, 10.159.49.111, no label
304, GET, 44, application, application/pkix-crl, 90.84.53.82, "08:30:28", DIRECT, 336, microsoft, 192.168.4.4, no label
304, GET, 47, application, application/pkix-crl, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 386, microsoft, 10.159.49.111, no label
200, GET, 224, text, text/xml, 173.194.34.224, "08:30:29", DIRECT, 783, google, 192.168.4.4, no label
200, GET, 228, text, text/xml, 192.168.4.4, "08:30:29", DEFAULT_PARENT, 833, google, 10.159.19.83, no label
200, GET, 490, application, application/octet-stream, 8.27.153.126, "08:30:29", DIRECT, 843271, windowsupdate, 192.168.4.4, no label
200, GET, 154, image, image/gif, 188.125.82.155, "08:30:29", DIRECT, 556, yahoo, 192.168.4.4, no label
200, GET, 157, image, image/gif, 192.168.4.4, "08:30:29", DEFAULT_PARENT, 606, yahoo, 10.159.46.201, no label
200, GET, 748, application, application/octet-stream, 192.168.4.4, "08:30:29", DEFAULT_PARENT, 110380, windowsupdate, 10.159.76.30, no label
200, GET, 303, image, image/gif, 69.147.76.50, "08:30:29", DIRECT, 1244, yahoo, 192.168.4.4, no label
200, GET, 306, image, image/gif, 192.168.4.4, "08:30:29", DEFAULT_PARENT, 1294, yahoo, 10.159.46.201, no label
